Fecha,ClaveEstado,Estado,NivelSemaforo
03/10/2021,29,Tlaxcala,2
20/09/2021,31,Yucatán,2
21/09/2021,31,Yucatán,2
22/09/2021,31,Yucatán,2
23/09/2021,31,Yucatán,2
24/09/2021,31,Yucatán,2
25/09/2021,31,Yucatán,2
26/09/2021,31,Yucatán,2
27/09/2021,31,Yucatán,2
28/09/2021,31,Yucatán,2
29/09/2021,31,Yucatán,2
30/09/2021,31,Yucatán,2
01/10/2021,31,Yucatán,2
02/10/2021,31,Yucatán,2
03/10/2021,31,Yucatán,2
20/09/2021,32,Zacatecas,2
21/09/2021,32,Zacatecas,2
22/09/2021,32,Zacatecas,2
23/09/2021,32,Zacatecas,2
24/09/2021,32,Zacatecas,2
25/09/2021,32,Zacatecas,2
26/09/2021,32,Zacatecas,2
27/09/2021,32,Zacatecas,2
28/09/2021,32,Zacatecas,2
29/09/2021,32,Zacatecas,2
30/09/2021,32,Zacatecas,2
01/10/2021,32,Zacatecas,2
02/10/2021,32,Zacatecas,2
03/10/2021,32,Zacatecas,2
06/09/2021,1,Aguascalientes,3
07/09/2021,1,Aguascalientes,3
08/09/2021,1,Aguascalientes,3
09/09/2021,1,Aguascalientes,3
10/09/2021,1,Aguascalientes,3
11/09/2021,1,Aguascalientes,3
12/09/2021,1,Aguascalientes,3
13/09/2021,1,Aguascalientes,3
14/09/2021,1,Aguascalientes,3
15/09/2021,1,Aguascalientes,3
16/09/2021,1,Aguascalientes,3
17/09/2021,1,Aguascalientes,3
18/09/2021,1,Aguascalientes,3
19/09/2021,1,Aguascalientes,3
06/09/2021,2,Baja California,2
07/09/2021,2,Baja California,2
08/09/2021,2,Baja California,2
09/09/2021,2,Baja California,2
10/09/2021,2,Baja California,2
11/09/2021,2,Baja California,2
12/09/2021,2,Baja California,2
13/09/2021,2,Baja California,2
14/09/2021,2,Baja California,2
15/09/2021,2,Baja California,2
16/09/2021,2,Baja California,2
17/09/2021,2,Baja California,2
18/09/2021,2,Baja California,2
19/09/2021,2,Baja California,2
06/09/2021,3,Baja California Sur,2
07/09/2021,3,Baja California Sur,2
08/09/2021,3,Baja California Sur,2
